PARTID;DESCRIPCION;FAMILIA;RUBRO;SUB-RUBRO;MARCA;UNIT_PRICE;IVA;MONEDA;CODIGO DE BARRAS;STOCK_UM;CASE_QTY;DESCRIPCION BULTO
66021232;GAB 12 MED MONOF RED TM2X32 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,862,752.24;21;ARS;;Un;1;
66021240;GAB 12 MED MONOF RED TM2X40 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;3,366,953.59;21;ARS;;Un;1;
66022332;GAB.3 MONO CAB. P/1 EDESUR TM 32 + DF 40;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;711,393.33;21;ARS;6602233200000;Un;1;
66023200;GAB 2 MED TRIF C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;882,314.82;21;ARS;;Un;1;
66023213;GAB. 2 TRIF. 13KW EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,057,575.13;21;ARS;;Un;1;
66023215;GAB. 2 TRIF. EDESUR TM4X32+DIF. CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,049,985.66;21;ARS;;Un;1;
66023222;GAB. 2 TRIF. T2 - 22KW EDESUR TM 4X40A;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,321,259.29;21;ARS;;Un;1;
66023225;GAB. 2 TRIF. T2 - 25KW EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,048,105.92;21;ARS;;Un;1;
66023229;GAB. 2 TRIFASICOS T2 - 29KW EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,027,332.64;21;ARS;;Un;1;
66023230;GAB. 2 TRIF T2 - 29KW EDESUR C/DIF;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,222,589.86;21;ARS;6602323000008;Un;1;
66023231;GAB. 2 TRIF T2 TM50 DF63 C16MM - EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,110,723.11;21;ARS;;Un;1;
66023400;GAB 4 MED TRIF C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,744,120.02;21;ARS;;Un;1;
66023413;GAB.4 TRIF T2 13KW EDESUR TM 4X25A;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,775,328.63;21;ARS;;Un;1;
66023417;GAB.4 TRIF T2 17KW EDESUR TM CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,786,095.68;21;ARS;6602341700003;Un;1;
66023422;GAB.4 TRIF T2 22KW EDESUR TM CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,789,424.81;21;ARS;;Un;1;
66023425;GAB.4 TRIF T2 25KW TM4X50A EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,896,493.29;21;ARS;;Un;1;
66023429;GAB.4 TRIF T2 29KW EDESUR TM CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,886,320.29;21;ARS;6602342900006;Un;1;
66023430;GAB.4 TRIF T2 29KW EDESUR C/DIF;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,278,604.34;21;ARS;6602343000002;Un;1;
66023432;GAB 4 MED T1TRIF C/TM + DIF EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,237,254.87;21;ARS;6602343200006;Un;1;
66029071;GAB 1 MONO + 1 TRIF C/TM + DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;825,937.91;21;ARS;;Un;1;
66030300;GAB 3 MED MONO C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;764,292.45;21;ARS;;Un;1;
66030301;GAB 3 MED MONO P/1 C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;509,871.13;21;ARS;6603030100005;Un;1;
66030400;GAB 4 MED MONO C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;927,495.79;21;ARS;;Un;1;
66030432;GAB 4 MED MONO.TM 2X32 CXT *EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,063,833.85;21;ARS;6603043200006;Un;1;
66030440;GAB 4 MED MON TM 2X40 DIF 2X40  EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,150,172.43;21;ARS;6603044000001;Un;1;
66030600;GAB 6 MED MONO C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,509,019.06;21;ARS;;Un;1;
66030632;GAB 6 MED MONOF EDENOR TM 32 +DIF40A;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,528,095.34;21;ARS;;Un;1;
66030800;GAB 8 MED MONO C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,757,991.27;21;ARS;;Un;1;
66030807;GAB 8 MED MONO. C/P 7 TM+DIF CXT EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,921,135.43;21;ARS;6603080700002;Un;1;
66030832;GAB 8 MED MONOF TM 2 X 32 RED *EDENOR*;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,017,612.42;21;ARS;;Un;1;
66030900;GAB 9 MED MONO C/TM + DIF EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,170,138.65;21;ARS;;Un;1;
66031032;GAB 12 C/P 10 TM 2X32 / DF 2X40 EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;4,638,602.20;21;ARS;6603103200007;Un;1;
66031040;GAB 12 C/P 10 TM 2X40 / DF 2X40 EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;4,770,829.58;21;ARS;;Un;1;
66031200;GAB 12 MED MONO C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,624,133.35;21;ARS;;Un;1;
